seed,c17_auc,c25_auc,c25_minus_c17_auc,c23_auc,c24_auc,c25_minus_c23_auc,c25_minus_c24_auc
0,0.8700769578995021,0.8718877320054322,0.001810774105930113,0.8714350384789498,0.8696242643730195,0.00045269352648247274,0.0022634676324126968
42,0.8768673607967407,0.8768673607967407,0.0,0.8768673607967407,0.8768673607967407,0.0,0.0
3407,0.8619284744228157,0.8623811679492983,0.00045269352648258376,0.8628338614757809,0.8628338614757809,-0.00045269352648258376,-0.00045269352648258376
