seed,c17_auc,c23_auc,c23_minus_c17_auc
0,0.8700769578995021,0.8714350384789498,0.0013580805794476403
42,0.8768673607967407,0.8768673607967407,0.0
3407,0.8619284744228157,0.8628338614757809,0.0009053870529651675
